FixNr|Date|Description|LineNr|Files|SearchTxt|ReplaceTxt
#1|2020-12-29|"Naomi : add .bin format to es_systems.cfg, by @bilu"|1089|V:\RetroBat\system\templates\emulationstation\es_systems.*|<extension>.dat .DAT .lst .LST .zip .ZIP</extension>|<extension>.dat .DAT .lst .LST .zip .ZIP .bin .BIN</extension>
#2|2020-12-29|"Jaguar : enable BIOS, required by some games, by @bilu"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|virtualjaguar_bios = "disabled"|virtualjaguar_bios = "enabled"
#3|2021-01-04|"Dolphin : fixed sluggishness with 8bitdo controllers connected via Bluetooth"||V:\RetroBat\emulators\dolphin-emu\User\Config\Dolphin.ini|WiimoteControllerInterface = True|WiimoteControllerInterface = False
4|2021-07-18|"disable PCXS2 Multi-thread microVU1 for compatibility"||V:\RetroBat\emulationstation\.emulationstation\es_settings.cfg|<string name="ps2.negdivhack" value="1" />|<string name="ps2.negdivhack" value="0" />
5|2021-08-26|"Retroarch annoying messages: "Device disconnected from port #1 (sdl2)", by @VMAN"||V:\RetroBat\retrobat.ini|ShowMessage="true"|ShowMessage="false"
8|2021-10-15|"PS3 : corrected After Burner Climax.m3u"||V:\RetroBat\roms\ps3\After Burner Climax.m3u|NPEB00260|NPEB00175
9|2021-11-08|"Amiga : improved automatic model detection"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|puae_model_cd = "CD32"|puae_model_cd = "CD32FR"
9|2021-11-08|"Amiga : improved automatic model detection"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|puae_model_fd = "A500"|puae_model_fd = "A500PLUS"
9|2021-11-08|"Amiga : improved automatic model detection"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|puae_model_hd = "A600"|puae_model_hd = "A1200"
10|2021-11-09|"Amiga : enable physical keyboard passthrough"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|puae_physical_keyboard_pass_through = "disabled"|puae_physical_keyboard_pass_through = "enabled"
11|2021-12-21|"Amiga-CD32 : Change CD Speed from Turbo to Normal (avoid fastfoward intro/FMV)"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|puae_cd_speed = "0"|puae_cd_speed = "100"
12|2022-02-17|"Neogeo-CD : Change Region from Japan to USA (Game plays in English)"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|neocd_region = "Japan"|neocd_region = "USA"
13|2022-05-22|"NDS : optimized configuration Touch Mode/Performance"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|melonds_opengl_better_polygons = "disabled"|melonds_opengl_better_polygons = "enabled"
13|2022-05-22|"NDS : optimized configuration Touch Mode/Performance"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|melonds_opengl_filtering = "nearest"|melonds_opengl_filtering = "linear"
13|2022-05-22|"NDS : optimized configuration Touch Mode/Performance"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|melonds_opengl_renderer = "disabled"|melonds_opengl_renderer = "enabled"
13|2022-05-22|"NDS : optimized configuration Touch Mode/Performance"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|melonds_opengl_resolution = "1x native|melonds_opengl_resolution = "4x native
13|2022-05-22|"NDS : optimized configuration Touch Mode/Performance"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|256x192|1024x768
13|2022-05-22|"NDS : optimized configuration Touch Mode/Performance"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|melonds_threaded_renderer = "disabled"|melonds_threaded_renderer = "enabled"
13|2022-05-22|"NDS : optimized configuration Touch Mode/Performance"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|melonds_touch_mode = "disabled"|melonds_touch_mode = "Mouse"
14|2022-06-11|"Atari ST : optimized settings"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|hatari_fastfdc = "false"|hatari_fastfdc = "true"
14|2022-06-11|"Atari ST : optimized settings"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|hatari_frameskips = "1"|hatari_frameskips = "0"
14|2022-06-11|"Atari ST : optimized settings"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|hatari_nokeys = "true"|hatari_nokeys = "false"
14|2022-06-11|"Atari ST : optimized settings"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|hatari_nomouse = "true"|hatari_nomouse = "false"
14|2022-06-11|"Atari ST : optimized settings"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|hatari_polarized_filter = "true"|hatari_polarized_filter = "false"
14|2022-06-11|"Atari ST : optimized settings"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|hatari_twojoy = "true"|hatari_twojoy = "false"
14|2022-06-11|"Atari ST : optimized settings"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|hatari_video_crop_overscan = "false"|hatari_video_crop_overscan = "true"
14|2022-06-11|"Atari ST : optimized settings"||V:\RetroBat\emulators\retroarch\retroarch-core-options.cfg|hatari_video_hires = "false"|hatari_video_hires = "true"
